19-12-2025 11:14
Defaut effacé: ID=846, Date=23-12-2025, Heure=09:28, Unité=2, Code=100088, État=3, Send=
Defaut effacé: ID=847, Date=23-12-2025, Heure=09:28, Unité=3, Code=100088, État=3, Send=
Defaut effacé: ID=848, Date=23-12-2025, Heure=09:28, Unité=4, Code=100088, État=3, Send=
Defaut effacé: ID=849, Date=23-12-2025, Heure=09:28, Unité=5, Code=100088, État=3, Send=
Defaut effacé: ID=850, Date=23-12-2025, Heure=09:28, Unité=6, Code=100088, État=3, Send=
Defaut effacé: ID=851, Date=23-12-2025, Heure=09:28, Unité=7, Code=100088, État=3, Send=
Defaut effacé: ID=852, Date=23-12-2025, Heure=09:28, Unité=8, Code=100088, État=3, Send=
Defaut effacé: ID=853, Date=23-12-2025, Heure=09:28, Unité=9, Code=100088, État=3, Send=
Defaut effacé: ID=854, Date=23-12-2025, Heure=09:28, Unité=10, Code=100088, État=3, Send=
Defaut effacé: ID=855, Date=23-12-2025, Heure=09:28, Unité=11, Code=100088, État=3, Send=
Defaut effacé: ID=856, Date=23-12-2025, Heure=09:28, Unité=12, Code=100088, État=3, Send=
Defaut effacé: ID=857, Date=23-12-2025, Heure=09:28, Unité=13, Code=100088, État=3, Send=
Defaut effacé: ID=858, Date=23-12-2025, Heure=09:28, Unité=14, Code=100088, État=3, Send=
Defaut effacé: ID=859, Date=23-12-2025, Heure=09:28, Unité=15, Code=100088, État=3, Send=
Defaut effacé: ID=860, Date=23-12-2025, Heure=09:28, Unité=16, Code=100088, État=3, Send=
Defaut effacé: ID=861, Date=23-12-2025, Heure=09:28, Unité=17, Code=100088, État=3, Send=
Defaut effacé: ID=862, Date=23-12-2025, Heure=09:28, Unité=18, Code=100088, État=3, Send=
Defaut effacé: ID=863, Date=23-12-2025, Heure=09:28, Unité=19, Code=100088, État=3, Send=
Defaut effacé: ID=864, Date=23-12-2025, Heure=09:28, Unité=20, Code=100088, État=3, Send=
Defaut effacé: ID=865, Date=23-12-2025, Heure=09:28, Unité=21, Code=100088, État=3, Send=
Defaut effacé: ID=866, Date=23-12-2025, Heure=09:28, Unité=22, Code=100088, État=3, Send=
Defaut effacé: ID=867, Date=23-12-2025, Heure=09:28, Unité=23, Code=100088, État=3, Send=
Defaut effacé: ID=868, Date=23-12-2025, Heure=09:28, Unité=24, Code=100088, État=3, Send=
Defaut effacé: ID=869, Date=23-12-2025, Heure=09:28, Unité=25, Code=100088, État=3, Send=
Defaut effacé: ID=870, Date=23-12-2025, Heure=09:28, Unité=26, Code=100088, État=3, Send=
Defaut effacé: ID=871, Date=23-12-2025, Heure=09:29, Unité=1, Code=231, État=3, Send=
Defaut effacé: ID=872, Date=23-12-2025, Heure=09:29, Unité=2, Code=231, État=3, Send=
Defaut effacé: ID=873, Date=23-12-2025, Heure=09:29, Unité=3, Code=231, État=3, Send=
Defaut effacé: ID=874, Date=23-12-2025, Heure=09:29, Unité=4, Code=231, État=3, Send=
Defaut effacé: ID=875, Date=23-12-2025, Heure=09:29, Unité=5, Code=231, État=3, Send=
Defaut effacé: ID=876, Date=23-12-2025, Heure=09:29, Unité=6, Code=231, État=3, Send=
Defaut effacé: ID=877, Date=23-12-2025, Heure=09:29, Unité=7, Code=231, État=3, Send=
Defaut effacé: ID=878, Date=23-12-2025, Heure=09:29, Unité=8, Code=231, État=3, Send=
Defaut effacé: ID=879, Date=23-12-2025, Heure=09:29, Unité=9, Code=231, État=3, Send=
Defaut effacé: ID=880, Date=23-12-2025, Heure=09:29, Unité=10, Code=231, État=3, Send=
Defaut effacé: ID=881, Date=23-12-2025, Heure=09:29, Unité=11, Code=231, État=3, Send=
Defaut effacé: ID=882, Date=23-12-2025, Heure=09:29, Unité=12, Code=231, État=3, Send=
Defaut effacé: ID=883, Date=23-12-2025, Heure=09:29, Unité=13, Code=231, État=3, Send=
Defaut effacé: ID=884, Date=23-12-2025, Heure=09:29, Unité=14, Code=231, État=3, Send=
Defaut effacé: ID=885, Date=23-12-2025, Heure=09:29, Unité=15, Code=231, État=3, Send=
Defaut effacé: ID=886, Date=23-12-2025, Heure=09:29, Unité=16, Code=231, État=3, Send=
Defaut effacé: ID=887, Date=23-12-2025, Heure=09:29, Unité=17, Code=231, État=3, Send=
Defaut effacé: ID=888, Date=23-12-2025, Heure=09:29, Unité=18, Code=231, État=3, Send=
Defaut effacé: ID=889, Date=23-12-2025, Heure=09:29, Unité=19, Code=231, État=3, Send=
Defaut effacé: ID=890, Date=23-12-2025, Heure=09:29, Unité=20, Code=231, État=3, Send=
Defaut effacé: ID=891, Date=23-12-2025, Heure=09:29, Unité=21, Code=231, État=3, Send=
Defaut effacé: ID=892, Date=23-12-2025, Heure=09:29, Unité=25, Code=231, État=3, Send=
Defaut effacé: ID=893, Date=23-12-2025, Heure=09:29, Unité=26, Code=231, État=3, Send=
23-12-2025 11:07
Defaut effacé: ID=897, Date=23-12-2025, Heure=09:39, Unité=1, Code=100066, État=3, Send=
Defaut effacé: ID=898, Date=23-12-2025, Heure=09:39, Unité=2, Code=100066, État=3, Send=
Defaut effacé: ID=899, Date=23-12-2025, Heure=09:39, Unité=3, Code=100066, État=3, Send=
Defaut effacé: ID=900, Date=23-12-2025, Heure=09:39, Unité=4, Code=100066, État=3, Send=
Defaut effacé: ID=901, Date=23-12-2025, Heure=09:39, Unité=5, Code=100066, État=3, Send=
Defaut effacé: ID=902, Date=23-12-2025, Heure=09:39, Unité=6, Code=100066, État=3, Send=
Defaut effacé: ID=903, Date=23-12-2025, Heure=09:39, Unité=7, Code=100066, État=3, Send=
Defaut effacé: ID=904, Date=23-12-2025, Heure=09:39, Unité=8, Code=100066, État=3, Send=
Defaut effacé: ID=905, Date=23-12-2025, Heure=09:39, Unité=9, Code=100066, État=3, Send=
Defaut effacé: ID=906, Date=23-12-2025, Heure=09:39, Unité=10, Code=100066, État=3, Send=
Defaut effacé: ID=907, Date=23-12-2025, Heure=09:39, Unité=11, Code=100066, État=3, Send=
Defaut effacé: ID=908, Date=23-12-2025, Heure=09:39, Unité=12, Code=100066, État=3, Send=
Defaut effacé: ID=909, Date=23-12-2025, Heure=09:39, Unité=13, Code=100066, État=3, Send=
Defaut effacé: ID=910, Date=23-12-2025, Heure=09:39, Unité=14, Code=100066, État=3, Send=
Defaut effacé: ID=911, Date=23-12-2025, Heure=09:39, Unité=15, Code=100066, État=3, Send=
Defaut effacé: ID=912, Date=23-12-2025, Heure=09:39, Unité=16, Code=100066, État=3, Send=
Defaut effacé: ID=913, Date=23-12-2025, Heure=09:39, Unité=17, Code=100066, État=3, Send=
Defaut effacé: ID=914, Date=23-12-2025, Heure=09:39, Unité=18, Code=100066, État=3, Send=
Defaut effacé: ID=915, Date=23-12-2025, Heure=09:39, Unité=19, Code=100066, État=3, Send=
Defaut effacé: ID=916, Date=23-12-2025, Heure=09:39, Unité=20, Code=100066, État=3, Send=
Defaut effacé: ID=917, Date=23-12-2025, Heure=09:39, Unité=21, Code=100066, État=3, Send=
Defaut effacé: ID=918, Date=23-12-2025, Heure=09:39, Unité=22, Code=100066, État=3, Send=
Defaut effacé: ID=919, Date=23-12-2025, Heure=09:39, Unité=23, Code=100066, État=3, Send=
Defaut effacé: ID=920, Date=23-12-2025, Heure=09:39, Unité=24, Code=100066, État=3, Send=
Defaut effacé: ID=921, Date=23-12-2025, Heure=09:39, Unité=25, Code=100066, État=3, Send=
Defaut effacé: ID=922, Date=23-12-2025, Heure=09:39, Unité=26, Code=100066, État=3, Send=
Defaut effacé: ID=923, Date=23-12-2025, Heure=09:40, Unité=1, Code=100088, État=3, Send=
Defaut effacé: ID=924, Date=23-12-2025, Heure=09:40, Unité=2, Code=100088, État=3, Send=
Defaut effacé: ID=925, Date=23-12-2025, Heure=09:40, Unité=3, Code=100088, État=3, Send=
Defaut effacé: ID=926, Date=23-12-2025, Heure=09:40, Unité=4, Code=100088, État=3, Send=
Defaut effacé: ID=927, Date=23-12-2025, Heure=09:40, Unité=5, Code=100088, État=3, Send=
Defaut effacé: ID=928, Date=23-12-2025, Heure=09:40, Unité=6, Code=100088, État=3, Send=
Defaut effacé: ID=929, Date=23-12-2025, Heure=09:40, Unité=7, Code=100088, État=3, Send=
Defaut effacé: ID=930, Date=23-12-2025, Heure=09:40, Unité=8, Code=100088, État=3, Send=
Defaut effacé: ID=931, Date=23-12-2025, Heure=09:40, Unité=9, Code=100088, État=3, Send=
Defaut effacé: ID=932, Date=23-12-2025, Heure=09:40, Unité=10, Code=100088, État=3, Send=
Defaut effacé: ID=933, Date=23-12-2025, Heure=09:40, Unité=11, Code=100088, État=3, Send=
Defaut effacé: ID=934, Date=23-12-2025, Heure=09:40, Unité=12, Code=100088, État=3, Send=
Defaut effacé: ID=935, Date=23-12-2025, Heure=09:40, Unité=13, Code=100088, État=3, Send=
Defaut effacé: ID=936, Date=23-12-2025, Heure=09:40, Unité=14, Code=100088, État=3, Send=
Defaut effacé: ID=937, Date=23-12-2025, Heure=09:40, Unité=15, Code=100088, État=3, Send=
Defaut effacé: ID=938, Date=23-12-2025, Heure=09:40, Unité=16, Code=100088, État=3, Send=
Defaut effacé: ID=939, Date=23-12-2025, Heure=09:40, Unité=17, Code=100088, État=3, Send=
Defaut effacé: ID=940, Date=23-12-2025, Heure=09:40, Unité=18, Code=100088, État=3, Send=
Defaut effacé: ID=941, Date=23-12-2025, Heure=09:40, Unité=19, Code=100088, État=3, Send=
Defaut effacé: ID=942, Date=23-12-2025, Heure=09:40, Unité=20, Code=100088, État=3, Send=
Defaut effacé: ID=943, Date=23-12-2025, Heure=09:40, Unité=21, Code=100088, État=3, Send=
Defaut effacé: ID=944, Date=23-12-2025, Heure=09:40, Unité=22, Code=100088, État=3, Send=
Defaut effacé: ID=945, Date=23-12-2025, Heure=09:40, Unité=23, Code=100088, État=3, Send=
Defaut effacé: ID=946, Date=23-12-2025, Heure=09:40, Unité=24, Code=100088, État=3, Send=
Defaut effacé: ID=947, Date=23-12-2025, Heure=09:40, Unité=25, Code=100088, État=3, Send=
Defaut effacé: ID=948, Date=23-12-2025, Heure=09:40, Unité=26, Code=100088, État=3, Send=
Defaut effacé: ID=949, Date=23-12-2025, Heure=09:40, Unité=4, Code=231, État=3, Send=
Defaut effacé: ID=950, Date=23-12-2025, Heure=09:40, Unité=5, Code=231, État=3, Send=
Defaut effacé: ID=951, Date=23-12-2025, Heure=09:40, Unité=7, Code=231, État=3, Send=
Defaut effacé: ID=952, Date=23-12-2025, Heure=09:40, Unité=8, Code=231, État=3, Send=
Defaut effacé: ID=953, Date=23-12-2025, Heure=09:40, Unité=9, Code=231, État=3, Send=
Defaut effacé: ID=954, Date=23-12-2025, Heure=09:40, Unité=10, Code=231, État=3, Send=
Defaut effacé: ID=955, Date=23-12-2025, Heure=09:40, Unité=11, Code=231, État=3, Send=
Defaut effacé: ID=956, Date=23-12-2025, Heure=09:40, Unité=12, Code=231, État=3, Send=
Defaut effacé: ID=957, Date=23-12-2025, Heure=09:40, Unité=13, Code=231, État=3, Send=
Defaut effacé: ID=958, Date=23-12-2025, Heure=09:40, Unité=14, Code=231, État=3, Send=
Defaut effacé: ID=959, Date=23-12-2025, Heure=09:40, Unité=15, Code=231, État=3, Send=
Defaut effacé: ID=960, Date=23-12-2025, Heure=09:40, Unité=16, Code=231, État=3, Send=
Defaut effacé: ID=961, Date=23-12-2025, Heure=09:40, Unité=17, Code=231, État=3, Send=
Defaut effacé: ID=962, Date=23-12-2025, Heure=09:40, Unité=18, Code=231, État=3, Send=
Defaut effacé: ID=963, Date=23-12-2025, Heure=09:40, Unité=19, Code=231, État=3, Send=
Defaut effacé: ID=964, Date=23-12-2025, Heure=09:40, Unité=20, Code=231, État=3, Send=
Defaut effacé: ID=965, Date=23-12-2025, Heure=09:40, Unité=21, Code=231, État=3, Send=
Defaut effacé: ID=966, Date=23-12-2025, Heure=09:40, Unité=25, Code=231, État=3, Send=
Defaut effacé: ID=967, Date=23-12-2025, Heure=09:40, Unité=26, Code=231, État=3, Send=
Defaut effacé: ID=10897, Date=2025-12-23, Heure=10:08, Unité=501, Code=10080, État=3, Send=
01-04-2026 08:31
01-04-2026 08:31
Defaut effacé: ID=894, Date=2025-12-23, Heure=09:30, Unité=501, Code=10080, État=3, Send=
Defaut effacé: ID=895, Date=2025-12-23, Heure=09:30, Unité=502, Code=10080, État=3, Send=
Defaut effacé: ID=896, Date=2025-12-23, Heure=09:30, Unité=503, Code=10080, État=3, Send=
Defaut effacé: ID=10898, Date=23-12-2025, Heure=11:27, Unité=1, Code=100066, État=3, Send=
Defaut effacé: ID=10899, Date=23-12-2025, Heure=11:27, Unité=2, Code=100066, État=3, Send=
Defaut effacé: ID=10900, Date=23-12-2025, Heure=11:27, Unité=3, Code=100066, État=3, Send=
Defaut effacé: ID=10901, Date=23-12-2025, Heure=11:27, Unité=4, Code=100066, État=3, Send=
Defaut effacé: ID=10902, Date=23-12-2025, Heure=11:27, Unité=5, Code=100066, État=3, Send=
Defaut effacé: ID=10903, Date=23-12-2025, Heure=11:27, Unité=6, Code=100066, État=3, Send=
Defaut effacé: ID=10904, Date=23-12-2025, Heure=11:27, Unité=7, Code=100066, État=3, Send=
Defaut effacé: ID=10905, Date=23-12-2025, Heure=11:27, Unité=8, Code=100066, État=3, Send=
Defaut effacé: ID=10906, Date=23-12-2025, Heure=11:27, Unité=9, Code=100066, État=3, Send=
Defaut effacé: ID=10907, Date=23-12-2025, Heure=11:27, Unité=10, Code=100066, État=3, Send=
Defaut effacé: ID=10908, Date=23-12-2025, Heure=11:27, Unité=11, Code=100066, État=3, Send=
Defaut effacé: ID=10909, Date=23-12-2025, Heure=11:27, Unité=12, Code=100066, État=3, Send=
Defaut effacé: ID=10910, Date=23-12-2025, Heure=11:27, Unité=13, Code=100066, État=3, Send=
Defaut effacé: ID=10911, Date=23-12-2025, Heure=11:27, Unité=14, Code=100066, État=3, Send=
Defaut effacé: ID=10912, Date=23-12-2025, Heure=11:27, Unité=15, Code=100066, État=3, Send=
Defaut effacé: ID=10913, Date=23-12-2025, Heure=11:27, Unité=16, Code=100066, État=3, Send=
Defaut effacé: ID=10914, Date=23-12-2025, Heure=11:27, Unité=17, Code=100066, État=3, Send=
Defaut effacé: ID=10915, Date=23-12-2025, Heure=11:27, Unité=18, Code=100066, État=3, Send=
Defaut effacé: ID=10916, Date=23-12-2025, Heure=11:27, Unité=19, Code=100066, État=3, Send=
Defaut effacé: ID=10917, Date=23-12-2025, Heure=11:27, Unité=20, Code=100066, État=3, Send=
Defaut effacé: ID=10918, Date=23-12-2025, Heure=11:27, Unité=21, Code=100066, État=3, Send=
Defaut effacé: ID=10919, Date=23-12-2025, Heure=11:27, Unité=22, Code=100066, État=3, Send=
Defaut effacé: ID=10920, Date=23-12-2025, Heure=11:27, Unité=23, Code=100066, État=3, Send=
Defaut effacé: ID=10921, Date=23-12-2025, Heure=11:27, Unité=24, Code=100066, État=3, Send=
Defaut effacé: ID=10922, Date=23-12-2025, Heure=11:27, Unité=25, Code=100066, État=3, Send=
Defaut effacé: ID=10923, Date=23-12-2025, Heure=11:27, Unité=26, Code=100066, État=3, Send=
Defaut effacé: ID=10924, Date=23-12-2025, Heure=11:31, Unité=6, Code=100088, État=3, Send=
Defaut effacé: ID=10925, Date=23-12-2025, Heure=11:31, Unité=8, Code=100088, État=3, Send=
Defaut effacé: ID=10926, Date=23-12-2025, Heure=11:31, Unité=21, Code=100088, État=3, Send=
Defaut effacé: ID=10927, Date=23-12-2025, Heure=11:31, Unité=22, Code=100088, État=3, Send=
Defaut effacé: ID=10928, Date=23-12-2025, Heure=11:31, Unité=23, Code=100088, État=3, Send=
Defaut effacé: ID=10929, Date=23-12-2025, Heure=11:31, Unité=24, Code=100088, État=3, Send=
Defaut effacé: ID=10930, Date=23-12-2025, Heure=11:38, Unité=1, Code=100088, État=3, Send=
Defaut effacé: ID=10931, Date=23-12-2025, Heure=11:38, Unité=2, Code=100088, État=3, Send=
Defaut effacé: ID=10932, Date=23-12-2025, Heure=11:38, Unité=3, Code=100088, État=3, Send=
